"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7"
"(Intercept)";0;0;0;0;0;0;0
"ocupantes_conteo_robus3";-0,109701007703868;-0,00104727246209435;-0,00310188298721209;0,000884859368165811;0,000611486782214401;0,00124483096618042;0,00171362624975392
"temperatura_exterior";1,01890468334385;0,00566491457701339;0,0116674840112824;0,00852509923552272;0,00573399377089107;0,00295011673270174;0,000418810170234541
"energia_agua_refrigerada";-0,190441999431952;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada";-0,0117794094938331;0,000327097874699252;-0,000161278284640837;-0,000172985782871107;-0,000108139755143013;-6,00503404748648e-05;2,58388342097404e-06
"temperatura_interior_1";NA;0,991609020461389;1,11153425053116;1,12371044292089;1,10854203480888;1,09344008181947;1,08014992331464
"ocupantes_conteo_robus3_1";NA;-0,00988183474906435;0,00863518967176096;0,0011876325323005;0,00246185267030518;0,001725792527605;0,00140193249785949
"temperatura_exterior_1";NA;0,00402406145975336;NA;NA;NA;NA;NA
"energia_agua_refrigerada_1";NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_1";NA;-0,000377489484323813;NA;NA;NA;NA;NA
"temperatura_interior_2";NA;NA;-0,12148425598507;-0,319104595534908;-0,291192983848075;-0,295514612814681;-0,304336256668946
"ocupantes_conteo_robus3_2";NA;NA;-0,0182583318968458;-0,000988619572150955;-0,00207969924502906;0,000276772802692773;0,00082756685080669
"temperatura_exterior_2";NA;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_2";NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_2";NA;NA;NA;NA;NA;NA;NA
"temperatura_interior_3";NA;NA;NA;0,188982507666197;0,09469390535217;0,128371749864214;0,133631361784249
"ocupantes_conteo_robus3_3";NA;NA;NA;-0,0161911993280446;-0,0162011565648502;-0,0189982678124893;-0,0199477902813366
"temperatura_exterior_3";NA;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_3";NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_3";NA;NA;NA;NA;NA;NA;NA
"temperatura_interior_4";NA;NA;NA;NA;0,084235069141266;-0,0422463656907112;-0,0154633805982805
"ocupantes_conteo_robus3_4";NA;NA;NA;NA;-4,73571798962816e-05;NA;NA
"temperatura_exterior_4";NA;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_4";NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_4";NA;NA;NA;NA;NA;NA;NA
"temperatura_interior_5";NA;NA;NA;NA;NA;0,115022882339086;0,00847398830158882
"ocupantes_conteo_robus3_5";NA;NA;NA;NA;NA;NA;NA
"temperatura_exterior_5";NA;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_5";NA;NA;NA;NA;NA;NA;NA
"temperatura_interior_6";NA;NA;NA;NA;NA;NA;0,0990809730428729
"ocupantes_conteo_robus3_6";NA;NA;NA;NA;NA;NA;NA
"temperatura_exterior_6";NA;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";NA;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_6";NA;NA;NA;NA;NA;NA;NA
"R2";0,997030795299745;0,999942032798158;0,999943550257192;0,999946011727269;0,999948013055008;0,999948729395121;0,999949645253432
"MAE";1,2224992930396;0,140293901227547;0,137170738678381;0,135290137895761;0,134099091318895;0,133836173017581;0,133082610990905
"Media residuales";0,0757932797475898;0,000792856496412104;0,000882863653816004;0,000758294309091058;0,00063759535254774;0,0005665296477935;0,000494638371617826
"Desviación típica residuales";1,49246327784184;0,208814730636747;0,206077265502484;0,20154843170528;0,19778380403002;0,196420086875548;0,194658795232131
"Número de variables";4;7;7;9;11;11;12
